trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268517995;19.07.2011;18:44:14;SNOS;EQNL;4650;5;23250;;B
1268517996;19.07.2011;18:44:14;SNOS;EQNL;4650;3;13950;;B
1268517997;19.07.2011;18:44:14;SNGSP;EQNE;14,05;1000;14050;;B
1268517998;19.07.2011;18:44:14;SBER03;EQBR;102,35;380;38893;;S
1268517999;19.07.2011;18:44:14;SNOS;EQNL;4650;5;23250;;B
1268518000;19.07.2011;18:44:14;SBER03;EQBR;102,35;750;76762,5;;S
1268518001;19.07.2011;18:44:14;SNOS;EQNL;4650;5;23250;;B
1268518002;19.07.2011;18:44:15;GAZP;EQNE;199,8;7800;1558440;;B
1268518003;19.07.2011;18:44:15;GAZP;EQNE;199,8;100;19980;;B
1268518004;19.07.2011;18:44:15;SNOS;EQNL;4650;5;23250;;B
1268518005;19.07.2011;18:44:15;GAZP;EQNE;199,8;500;99900;;B
1268518006;19.07.2011;18:44:15;SNOS;EQNL;4650;5;23250;;B
1268518007;19.07.2011;18:44:15;VTBR;EQNL;0,08536;1000000;85360;;B
1268518008;19.07.2011;18:44:15;MSNG;EQBR;2,531;5000;12655;;S
1268518009;19.07.2011;18:44:15;MSNG;EQBR;2,5308;25000;63270;;S
1268518010;19.07.2011;18:44:15;MGNT;EQBR;4003,9;1;4003,9;;B
1268518011;19.07.2011;18:44:15;SBER03;EQBR;102,35;2840;290674;;S
1268518012;19.07.2011;18:44:15;SBER03;EQBR;102,33;160;16372,8;;S
1268518013;19.07.2011;18:44:15;RASP;EQNL;171,4;10;1714;;B
1268518014;19.07.2011;18:44:15;SNOS;EQNL;4650;5;23250;;B
1268518015;19.07.2011;18:44:15;RU14APTK1007;EQNL;86,93;30;2607,9;;B
1268518016;19.07.2011;18:44:15;RU14APTK1007;EQNL;86,94;10;869,4;;B
1268518017;19.07.2011;18:44:15;RU14APTK1007;EQNL;86,95;300;26085;;B
1268518018;19.07.2011;18:44:15;RU14APTK1007;EQNL;87,01;10;870,1;;B
1268518019;19.07.2011;18:44:15;RU14APTK1007;EQNL;87,17;150;13075,5;;B
1268518020;19.07.2011;18:44:15;RU14APTK1007;EQNL;87,18;100;8718;;B
1268518021;19.07.2011;18:44:15;SNOS;EQNL;4650;5;23250;;B
1268518022;19.07.2011;18:44:15;FEES;EQNL;0,37999;20000;7599,8;;B
1268518023;19.07.2011;18:44:15;FEES;EQNL;0,37999;340000;129196,6;;B
1268518024;19.07.2011;18:44:15;FEES;EQNL;0,38;140000;53200;;B
1268518025;19.07.2011;18:44:15;URKA;EQBR;266;800;212800;;S
1268518026;19.07.2011;18:44:15;ROSN;EQNL;231,95;20;4639;;B
1268518027;19.07.2011;18:44:15;VTBR;EQNL;0,08535;5150000;439552,5;;S
1268518028;19.07.2011;18:44:15;VTBR;EQNL;0,08534;1600000;136544;;S
1268518029;19.07.2011;18:44:15;VTBR;EQNL;0,08536;160000;13657,6;;B
1268518030;19.07.2011;18:44:15;VTBR;EQNL;0,08536;200000;17072;;B
1268518031;19.07.2011;18:44:15;SNOS;EQNL;4650;5;23250;;B
1268518032;19.07.2011;18:44:16;GAZP;EQNE;199,8;550;109890;;B
1268518033;19.07.2011;18:44:16;SNOS;EQNL;4650;5;23250;;B
1268518034;19.07.2011;18:44:16;AKRN;EQNL;1472;1;1472;;S
1268518035;19.07.2011;18:44:16;AFKC;EQNL;32,32;100;3232;;S
1268518036;19.07.2011;18:44:16;SNOS;EQNL;4650;5;23250;;B
1268518037;19.07.2011;18:44:16;SNOS;EQNL;4650;5;23250;;B
1268518038;19.07.2011;18:44:16;LNZLP;EQNE;1662,2;10;16622;;S
1268518039;19.07.2011;18:44:16;MRKH;EQBR;3,729;10000;37290;;B
1268518040;19.07.2011;18:44:16;SNOS;EQNL;4650;5;23250;;B
1268518041;19.07.2011;18:44:16;GAZP;EQNE;199,8;600;119880;;B
1268518042;19.07.2011;18:44:16;GAZP;EQNE;199,8;450;89910;;B
1268518043;19.07.2011;18:44:16;GAZP;EQNE;199,8;550;109890;;B
1268518044;19.07.2011;18:44:17;SNOS;EQNL;4650;5;23250;;B
1268518045;19.07.2011;18:44:17;URKA;EQBR;266,01;10;2660,1;;B
1268518046;19.07.2011;18:44:17;MVID;EQNL;278;3190;886820;;S
1268518047;19.07.2011;18:44:17;MVID;EQNL;277,75;1710;474952,5;;S
1268518048;19.07.2011;18:44:17;MVID;EQNL;277,75;1800;499950;;S
1268518049;19.07.2011;18:44:17;MVID;EQNL;277;720;199440;;S
1268518050;19.07.2011;18:44:17;MVID;EQNL;274,05;40;10962;;S
1268518051;19.07.2011;18:44:17;MVID;EQNL;274;40;10960;;S
1268518052;19.07.2011;18:44:17;SBER03;EQBR;102,35;300;30705;;S
1268518053;19.07.2011;18:44:17;SBER03;EQBR;102,33;80;8186,4;;S
1268518054;19.07.2011;18:44:17;SBER03;EQBR;102,33;1470;150425,1;;S
1268518055;19.07.2011;18:44:17;VTBR;EQNL;0,08536;640000;54630,4;;S
1268518056;19.07.2011;18:44:17;VTBR;EQNL;0,08536;90000;7682,4;;S
1268518057;19.07.2011;18:44:17;VTBR;EQNL;0,08536;130000;11096,8;;S
1268518058;19.07.2011;18:44:17;VTBR;EQNL;0,08535;90000;7681,5;;S
1268518059;19.07.2011;18:44:17;VTBR;EQNL;0,08534;960000;81926,4;;S
1268518060;19.07.2011;18:44:17;SNOS;EQNL;4650;5;23250;;B
1268518061;19.07.2011;18:44:17;SBER03;EQBR;102,38;1000;102380;;B
1268518062;19.07.2011;18:44:17;ROSN;EQNL;231,95;10;2319,5;;S
1268518063;19.07.2011;18:44:17;TGKE;EQNL;0,01152;1500000;17280;;B
1268518064;19.07.2011;18:44:17;TGKE;EQNL;0,011779;800000;9423,2;;B
1268518065;19.07.2011;18:44:17;GAZP;EQNE;199,8;50;9990;;B
1268518066;19.07.2011;18:44:17;SNOS;EQNL;4650;5;23250;;B
1268518067;19.07.2011;18:44:17;SBER03;EQBR;102,39;130;13310,7;;B
1268518068;19.07.2011;18:44:17;SBER03;EQBR;102,39;520;53242,8;;B
1268518069;19.07.2011;18:44:17;SBER03;EQBR;102,39;350;35836,5;;B
1268518070;19.07.2011;18:44:17;SBER03;EQBR;102,39;1000;102390;;B
1268518071;19.07.2011;18:44:17;SBER03;EQBR;102,39;100;10239;;B
1268518072;19.07.2011;18:44:17;ROSN;EQNL;231,96;10;2319,6;;B
1268518073;19.07.2011;18:44:17;SNOS;EQNL;4650;5;23250;;B
1268518074;19.07.2011;18:44:17;NKNC;EQBS;27;4000;108000;;B
1268518075;19.07.2011;18:44:17;NKNC;EQBS;27;100;2700;;B
1268518076;19.07.2011;18:44:17;NKNC;EQBS;27;400;10800;;B
1268518077;19.07.2011;18:44:17;NKNC;EQBS;27;100;2700;;B
1268518078;19.07.2011;18:44:17;NKNC;EQBS;27;100;2700;;B
1268518079;19.07.2011;18:44:17;NKNC;EQBS;27;2300;62100;;B
1268518080;19.07.2011;18:44:17;NKNC;EQBS;27;1000;27000;;B
1268518081;19.07.2011;18:44:17;LKOH;EQBR;1826,6;27;49318,2;;B
1268518082;19.07.2011;18:44:17;LKOH;EQBR;1826,7;27;49320,9;;B
1268518083;19.07.2011;18:44:17;LKOH;EQBR;1826,8;74;135183,2;;B
1268518084;19.07.2011;18:44:17;LKOH;EQBR;1826,9;50;91345;;B
1268518085;19.07.2011;18:44:17;LKOH;EQBR;1826,9;10;18269;;B
1268518086;19.07.2011;18:44:17;LKOH;EQBR;1826,9;8;14615,2;;B
1268518087;19.07.2011;18:44:17;LKOH;EQBR;1826,9;8;14615,2;;B
1268518088;19.07.2011;18:44:17;LKOH;EQBR;1826,9;1800;3288420;;B
1268518089;19.07.2011;18:44:17;LKOH;EQBR;1827;100;182700;;B
1268518090;19.07.2011;18:44:17;LKOH;EQBR;1827;10;18270;;B
1268518091;19.07.2011;18:44:17;SNOS;EQNL;4650;5;23250;;B
1268518092;19.07.2011;18:44:17;GAZP;EQNE;199,8;100;19980;;B
1268518093;19.07.2011;18:44:18;SNOS;EQNL;4650;5;23250;;B
1268518094;19.07.2011;18:44:18;SBERP03;EQBR;80,38;1000;80380;;B
1268518095;19.07.2011;18:44:18;SNOS;EQNL;4650;5;23250;;B
1268518096;19.07.2011;18:44:18;MRKZ;EQBS;0,131;40000;5240;;B
1268518097;19.07.2011;18:44:18;GAZP;EQNE;199,8;200;39960;;B
1268518098;19.07.2011;18:44:18;SNOS;EQNL;4650;5;23250;;B
1268518099;19.07.2011;18:44:18;SNOS;EQNL;4650;5;23250;;B
1268518100;19.07.2011;18:44:18;SNOS;EQNL;4650;6;27900;;B
1268518101;19.07.2011;18:44:18;SBER03;EQBR;102,39;100;10239;;B
1268518102;19.07.2011;18:44:18;OGK4;EQNL;2,6293;1000;2629,3;;B
1268518103;19.07.2011;18:44:18;OGK4;EQNL;2,6294;50000;131470;;B
1268518104;19.07.2011;18:44:18;OGK4;EQNL;2,6295;5000;13147,5;;B
1268518105;19.07.2011;18:44:18;OGK4;EQNL;2,6297;100000;262970;;B
1268518106;19.07.2011;18:44:18;OGK4;EQNL;2,6297;100000;262970;;B
1268518107;19.07.2011;18:44:18;OGK4;EQNL;2,6297;4000;10518,8;;B
1268518108;19.07.2011;18:44:18;OGK4;EQNL;2,6298;131000;344503,8;;B
1268518109;19.07.2011;18:44:18;SNOS;EQNL;4650;5;23250;;B
1268518110;19.07.2011;18:44:18;CHMF;EQNL;510,4;20;10208;;B
1268518111;19.07.2011;18:44:18;CHMF;EQNL;510,4;10;5104;;B
1268518112;19.07.2011;18:44:18;CHMF;EQNL;510,4;20;10208;;B
1268518113;19.07.2011;18:44:19;SNOS;EQNL;4650;5;23250;;B
1268518114;19.07.2011;18:44:19;SBER03;EQBR;102,38;50;5119;;S
1268518115;19.07.2011;18:44:19;ROSN;EQNL;231,95;30;6958,5;;S
1268518116;19.07.2011;18:44:19;ROSN;EQNL;231,9;200;46380;;S
1268518117;19.07.2011;18:44:19;ROSN;EQNL;231,9;70;16233;;S
1268518118;19.07.2011;18:44:19;SBER03;EQBR;102,39;200;20478;;B
1268518119;19.07.2011;18:44:19;IUES;EQNL;0,038146;100000;3814,6;;S
1268518120;19.07.2011;18:44:19;IUES;EQNL;0,038121;100000;3812,1;;S
1268518121;19.07.2011;18:44:19;SBER03;EQBR;102,39;300;30717;;B
1268518122;19.07.2011;18:44:19;SNOS;EQNL;4650;5;23250;;B
1268518123;19.07.2011;18:44:19;SBER03;EQBR;102,39;900;92151;;B
1268518124;19.07.2011;18:44:19;SNOS;EQNL;4650;5;23250;;B
1268518125;19.07.2011;18:44:19;GMKN;EQBR;7549;25;188725;;B
1268518126;19.07.2011;18:44:19;GMKN;EQBR;7550;31;234050;;B
1268518127;19.07.2011;18:44:19;GMKN;EQBR;7550;10;75500;;B
1268518128;19.07.2011;18:44:19;GMKN;EQBR;7550;1;7550;;B
1268518129;19.07.2011;18:44:19;GMKN;EQBR;7550;50;377500;;S
1268518130;19.07.2011;18:44:19;SNOS;EQNL;4650;1;4650;;B
1268518131;19.07.2011;18:44:19;SBER03;EQBR;102,38;50;5119;;S
1268518132;19.07.2011;18:44:19;SBER03;EQBR;102,38;640;65523,2;;S
1268518133;19.07.2011;18:44:19;SBER03;EQBR;102,33;110;11256,3;;S
1268518134;19.07.2011;18:44:19;GMKN;EQBR;7550;5;37750;;S
1268518135;19.07.2011;18:44:19;SBER03;EQBR;102,37;400;40948;;S
1268518136;19.07.2011;18:44:19;SBER03;EQBR;102,34;150;15351;;S
1268518137;19.07.2011;18:44:19;MRKZ;EQBS;0,131;20000;2620;;B
1268518138;19.07.2011;18:44:19;MRKZ;EQBS;0,131;300000;39300;;B
1268518139;19.07.2011;18:44:19;PIKK;EQNL;106,7;100;10670;;B
1268518140;19.07.2011;18:44:20;SBER03;EQBR;102,35;150;15352,5;;S
1268518141;19.07.2011;18:44:20;MRKH;EQBR;3,729;56000;208824;;B
1268518142;19.07.2011;18:44:20;MRKH;EQBR;3,729;15000;55935;;B
1268518143;19.07.2011;18:44:20;MRKH;EQBR;3,729;6000;22374;;B
1268518144;19.07.2011;18:44:20;GAZP;EQNE;199,8;100;19980;;B
1268518145;19.07.2011;18:44:20;SBER03;EQBR;102,38;150;15357;;B
1268518146;19.07.2011;18:44:20;SBER03;EQBR;102,38;350;35833;;B
1268518147;19.07.2011;18:44:20;VTBR;EQNL;0,08535;20000;1707;;S
1268518148;19.07.2011;18:44:20;MRKZ;EQBS;0,131;20000;2620;;S
1268518149;19.07.2011;18:44:20;RTKM;EQBR;199,6;20;3992;;S
1268518150;19.07.2011;18:44:20;GAZP;EQNE;199,8;100;19980;;B
1268518151;19.07.2011;18:44:20;GAZP;EQNE;199,8;600;119880;;B
1268518152;19.07.2011;18:44:20;GAZP;EQNE;199,75;10;1997,5;;S
1268518153;19.07.2011;18:44:21;VTBR;EQNL;0,08537;10000;853,7;;B
1268518154;19.07.2011;18:44:21;VTBR;EQNL;0,0854;230000;19642;;B
1268518155;19.07.2011;18:44:21;MRKH;EQBR;3,729;3000;11187;;S
1268518156;19.07.2011;18:44:21;SBER03;EQBR;102,38;140;14333,2;;B
1268518157;19.07.2011;18:44:21;IUES;EQNL;0,038121;100000;3812,1;;S
1268518158;19.07.2011;18:44:21;SBER03;EQBR;102,38;1360;139236,8;;S
1268518159;19.07.2011;18:44:21;SBER03;EQBR;102,35;1750;179112,5;;S
1268518160;19.07.2011;18:44:21;OGK2;EQBR;1,331;5000;6655;;B
1268518161;19.07.2011;18:44:21;SBER03;EQBR;102,35;5000;511750;;B
1268518162;19.07.2011;18:44:21;SBER03;EQBR;102,35;100;10235;;B
1268518163;19.07.2011;18:44:21;TGKE;EQNL;0,011788;100000;1178,8;;B
1268518164;19.07.2011;18:44:21;GAZP;EQNE;199,8;100;19980;;B
1268518165;19.07.2011;18:44:21;LKOH;EQBR;1827;5;9135;;S
1268518166;19.07.2011;18:44:21;GAZP;EQNE;199,8;200;39960;;B
1268518167;19.07.2011;18:44:22;MTLR;EQBR;695;21;14595;;B
1268518168;19.07.2011;18:44:22;GAZP;EQNE;199,8;500;99900;;B
1268518169;19.07.2011;18:44:22;MRKH;EQBR;3,73;11000;41030;;B
1268518170;19.07.2011;18:44:22;SBER03;EQBR;102,35;400;40940;;B
1268518171;19.07.2011;18:44:22;SBER03;EQBR;102,34;30;3070,2;;S
1268518172;19.07.2011;18:44:22;SBER03;EQBR;102,34;3670;375587,8;;S
1268518173;19.07.2011;18:44:22;SBER03;EQBR;102,33;3420;349968,6;;S
1268518174;19.07.2011;18:44:22;SBER03;EQBR;102,33;5000;511650;;S
1268518175;19.07.2011;18:44:22;SBER03;EQBR;102,33;5980;611933,4;;S
1268518176;19.07.2011;18:44:22;SBER03;EQBR;102,33;60;6139,8;;S
1268518177;19.07.2011;18:44:22;SBER03;EQBR;102,33;40000;4093200;;S
1268518178;19.07.2011;18:44:22;SBER03;EQBR;102,32;2510;256823,2;;S
1268518179;19.07.2011;18:44:22;SBER03;EQBR;102,32;14360;1469315,2;;S
1268518180;19.07.2011;18:44:22;SBER03;EQBR;102,35;1000;102350;;B
1268518181;19.07.2011;18:44:22;LKOH;EQBR;1827;1;1827;;S
1268518182;19.07.2011;18:44:22;SBER03;EQBR;102,35;1900;194465;;B
1268518183;19.07.2011;18:44:22;SBER03;EQBR;102,35;30;3070,5;;B
1268518184;19.07.2011;18:44:22;GAZP;EQNE;199,75;240;47940;;S
1268518185;19.07.2011;18:44:22;GAZP;EQNE;199,75;10;1997,5;;S
1268518186;19.07.2011;18:44:22;SBER03;EQBR;102,35;20;2047;;B
1268518187;19.07.2011;18:44:22;HYDR;EQBR;1,3382;1000;1338,2;;B
1268518188;19.07.2011;18:44:22;SIBN;EQNE;136,91;20;2738,2;;B
1268518189;19.07.2011;18:44:22;SBER03;EQBR;102,33;2400;245592;;S
1268518190;19.07.2011;18:44:22;SBER03;EQBR;102,32;5640;577084,8;;S
1268518191;19.07.2011;18:44:22;SBER03;EQBR;102,32;10000;1023200;;S
1268518192;19.07.2011;18:44:22;SBER03;EQBR;102,32;15000;1534800;;S
1268518193;19.07.2011;18:44:22;SBER03;EQBR;102,32;1000;102320;;S
1268518194;19.07.2011;18:44:22;SBER03;EQBR;102,32;2000;204640;;S
1268518195;19.07.2011;18:44:22;SBER03;EQBR;102,32;3960;405187,2;;S
1268518196;19.07.2011;18:44:22;AKHA;EQNE;12,21;100;1221;;S
1268518197;19.07.2011;18:44:23;SBER03;EQBR;102,35;100;10235;;B
1268518198;19.07.2011;18:44:23;SBER03;EQBR;102,35;400;40940;;B
1268518199;19.07.2011;18:44:23;SBER03;EQBR;102,35;500;51175;;B
1268518200;19.07.2011;18:44:23;IUES;EQNL;0,038111;100000;3811,1;;S
1268518201;19.07.2011;18:44:23;SBER03;EQBR;102,35;700;71645;;B
1268518202;19.07.2011;18:44:23;SBER03;EQBR;102,35;1740;178089;;B
1268518203;19.07.2011;18:44:23;LNZLP;EQNE;1660,7;1;1660,7;;S
1268518204;19.07.2011;18:44:23;LNZLP;EQNE;1660,2;2;3320,4;;S
1268518205;19.07.2011;18:44:23;SBER03;EQBR;102,39;2000;204780;;B
1268518206;19.07.2011;18:44:23;SBER03;EQBR;102,39;200;20478;;B
1268518209;19.07.2011;18:44:23;GAZP;EQNE;199,75;500;99875;;S
1268518210;19.07.2011;18:44:23;LKOH;EQBR;1827;1;1827;;S
1268518211;19.07.2011;18:44:24;LNZLP;EQNE;1660,7;1;1660,7;;S
1268518212;19.07.2011;18:44:24;SBER03;EQBR;102,35;300;30705;;S
1268518213;19.07.2011;18:44:24;NLMK;EQNL;106,6;50;5330;;S
1268518214;19.07.2011;18:44:24;LKOH;EQBR;1827;40;73080;;S
1268518215;19.07.2011;18:44:24;SBER03;EQBR;102,35;600;61410;;S
1268518216;19.07.2011;18:44:24;SBER03;EQBR;102,35;100;10235;;S
1268518217;19.07.2011;18:44:24;SBER03;EQBR;102,35;100;10235;;S
1268518218;19.07.2011;18:44:24;SBER03;EQBR;102,33;720;73677,6;;S
1268518219;19.07.2011;18:44:24;SBER03;EQBR;102,33;480;49118,4;;S
1268518220;19.07.2011;18:44:24;GAZP;EQNE;199,8;200;39960;;B
1268518221;19.07.2011;18:44:24;GAZP;EQNE;199,8;500;99900;;B
1268518222;19.07.2011;18:44:25;VTBR;EQNL;0,08535;100000;8535;;S
1268518223;19.07.2011;18:44:25;VTBR;EQNL;0,08535;30000;2560,5;;S
1268518224;19.07.2011;18:44:25;VTBR;EQNL;0,08534;1670000;142517,8;;S
1268518225;19.07.2011;18:44:25;MRKA;EQNL;0,12049;10000;1204,9;;B
1268518226;19.07.2011;18:44:25;MRKA;EQNL;0,12049;10000;1204,9;;B
1268518227;19.07.2011;18:44:25;PLZL;EQNL;1749;1;1749;;B
1268518228;19.07.2011;18:44:25;PLZL;EQNL;1749,8;1;1749,8;;B
1268518229;19.07.2011;18:44:25;PLZL;EQNL;1750;2;3500;;B
1268518230;19.07.2011;18:44:25;OMZZP;EQNE;6000,1;5;30000,5;;S
